,examples,hypotheses,references
333," Studio albums 
",is a,['albums']
334," Church of Realities ( 1995 ) 
",was founded in 1887,['( 1995 )']
335," Hed PE ( 1997 ) 
",@-@ M,['( 1997 )']
336," Broke ( 2000 ) 
",@-@,['2000 )']
337," Blackout ( 2003 ) 
",,['2003 )']
338," Only in Amerika ( 2004 ) 
",", there is a strong",['( 2004 )']
339," Back 2 Base X ( 2006 ) 
",Camps :,['X ( 2006 )']
340," Insomnia ( 2007 ) 
",,['2007 )']
341," New World Orphans ( 2009 ) 
",of the '70s,['( 2009 )']
342," Truth Rising ( 2010 ) 
",'s first single ',['( 2010 )']
343," Evolution ( 2014 ) 
",,['2014 )']
344," Forever ! ( 2016 ) 
",!,['( 2016 )']
345," = Ironclad warship = 
",@-@,['warship =']
346," An ironclad is a steam @-@ propelled warship protected by iron or steel armor plates used in the early part of the second half of the 19th century . The ironclad was developed as a result of the vulnerability of wooden warships to explosive or incendiary shells . The first ironclad battleship , Gloire , was launched by the French Navy in November 1859 . The British Admiralty had been considering armored warships since 1856 and prepared a draft design for an armored corvette in 1857 ; in early 1859 the Royal Navy started building two iron @-@ hulled armored frigates , and by 1861 had made the decision to move to an all @-@ armored battle fleet . After the first clashes of ironclads ( both with wooden ships and with one another ) took place in 1862 during the American Civil War , it became clear that the ironclad had replaced the unarmored ship of the line as the most powerful warship afloat . This type of ship would come to be very successful in the American Civil War . 
","design was submitted to the Royal Navy for design consideration . In 1864 , the British Navy commissioned a new design , which included a steel hull and a reinforced hull . This design had the advantage of being able to withstand a large number of explosive shells , but it was not designed to be used as an anti-aircraft gun . It was considered too heavy for use in naval warfare , and was therefore scrapped in favour of a lighter, more maneuverable design . During the Second World War , during the Battle of Britain , a British destroyer was sunk by a German submarine after being hit by an incendiary shell .","['Royal Navy started building two iron @-@ hulled armored frigates , and by 1861 had made the decision to move to an all @-@ armored battle fleet . After the first clashes of ironclads ( both with wooden ships and with one another ) took place in 1862 during the American Civil War , it became clear that the ironclad had replaced the unarmored ship of the line as the most powerful warship afloat . This type of ship would come to be very successful in the American Civil War .']"
347," Ironclads were designed for several roles , including as high seas battleships , coastal defense ships , and long @-@ range cruisers . The rapid evolution of warship design in the late 19th century transformed the ironclad from a wooden @-@ hulled vessel that carried sails to supplement its steam engines into the steel @-@ built , turreted battleships and cruisers familiar in the 20th century . This change was pushed forward by the development of heavier naval guns ( the ironclads of the 1880s carried some of the heaviest guns ever mounted at sea ) , more sophisticated steam engines , and advances in metallurgy which made steel shipbuilding possible . 
","hulls that served as the backbone of the battleship . By the end of World War II , the Ironclad had become the most common type of battlecruiser in naval service . In the early 1950s , a new design was introduced to replace the wooden hull with a steel hull , which was designed to withstand the rigors of war .","[', turreted battleships and cruisers familiar in the 20th century . This change was pushed forward by the development of heavier naval guns ( the ironclads of the 1880s carried some of the heaviest guns ever mounted at sea ) , more sophisticated steam engines , and advances in metallurgy which made steel shipbuilding possible .']"
348," The quick pace of change meant that many ships were obsolete as soon as they were finished , and that naval tactics were in a state of flux . Many ironclads were built to make use of the ram or the torpedo , which a number of naval designers considered the important weapons of naval combat . There is no clear end to the ironclad period , but towards the end of the 1890s the term ironclad dropped out of use . New ships were increasingly constructed to a standard pattern and designated battleships or armored cruisers . 
","thought would be a better option than a single torpedo . In the end , however , it was decided that the best solution was to use a combination of two torpedoes , one of which would destroy the target and the other would allow the ship to continue sailing . The second torpedo was the most common type of torpedo used by the British navy , but it had the advantage of being able to penetrate the hull of an enemy ship .","['considered the important weapons of naval combat . There is no clear end to the ironclad period , but towards the end of the 1890s the term ironclad dropped out of use . New ships were increasingly constructed to a standard pattern and designated battleships or armored cruisers .']"
349," = = The ironclad = = 
",original version of the song was,['ironclad = =']
350," The ironclad became technically feasible and tactically necessary because of developments in shipbuilding in the first half of the 19th century . According to naval historian J. Richard Hill : "" The ( ironclad ) had three chief characteristics : a metal @-@ skinned hull , steam propulsion and a main armament of guns capable of firing explosive shells . It is only when all three characteristics are present that a fighting ship can properly be called an ironclad . "" Each of these developments was introduced separately in the decade before the first ironclads . 
","capability , and the ability to carry heavy loads . It was the most powerful ship in its class and was capable of carrying a tonne of tons of cargo . The ship was also the largest and most advanced of all the Ironclad , with a capacity of 1,000 tons and a displacement of 2,500 tons . ""","['and a main armament of guns capable of firing explosive shells . It is only when all three characteristics are present that a fighting ship can properly be called an ironclad . "" Each of these developments was introduced separately in the decade before the first ironclads .']"
